% Device,CC1409005
% File name,CC1409005_20241204_162449
% Cast time (UTC),2024-12-04 16:24:49
% Cast time (local),2024-12-04 16:24:49
% Sample type,Cast
% Cast data,Raw
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),937.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2014-04-07
% Temperature calibration date,2014-04-07
% Pressure calibration date,2014-03-04
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
201.4,26.154887998811311,17.071693420410156,45720.4296875
201.6,26.191890185783929,17.065526962280273,45747
201.8,26.193285988479204,17.060356140136719,45738.07421875
202,26.169199613440103,17.058628082275391,45742.4296875
202.2,26.088907488889284,17.059173583984375,45747.5546875
202.4,26.000940193440027,17.055244445800781,45736.76171875
202.6,25.915757626994676,17.061258316040039,45749.1484375
202.8,25.849782061281743,17.067188262939453,45737.9765625
203,25.812077217004365,17.067909240722656,45736.7421875
203.2,25.808235440353933,17.067239761352539,45738.87109375
203.4,25.839652910529679,17.066211700439453,45732.24609375
203.6,25.896907325285497,17.060142517089844,45736.68359375
203.8,25.960791683888974,17.060832977294922,45742.84765625
204,26.011408525402608,17.065471649169922,45729.13671875
204.2,26.03967887033421,17.059978485107422,45758.3828125
204.4,26.016294399591985,17.059347152709961,45732.953125
204.6,25.948571702531396,17.0576171875,45727.8828125
204.8,25.873513342629018,17.061775207519531,45735.6640625
205,25.769478542296945,17.060087203979492,45729.20703125
205.2,25.657070481466832,17.062347412109375,45758.49609375
205.4,25.541866247541009,17.067615509033203,45765.9609375
205.6,25.405009791935505,17.071311950683594,45753.5390625
205.8,25.295729782863198,17.070217132568359,45747.7890625
206,25.208449132921753,17.073463439941406,45742.48046875
206.2,25.144556391915856,17.069299697875977,45732.10546875
206.4,25.129541366974411,17.067169189453125,45739.75
206.6,25.136521886466561,17.069664001464844,45751.35546875
206.8,25.178075007277066,17.065937042236328,45736.98828125
207,25.250695022618828,17.068199157714844,45735.328125
207.2,25.335178746456677,17.066291809082031,45721.28125
207.4,25.424907679034767,17.061031341552734,45730.36328125
207.6,25.527892684610897,17.066005706787109,45735.5078125
207.8,25.643103794923359,17.062965393066406,45729.3828125
208,25.75760918624168,17.063522338867188,45741.5078125
208.2,25.876303115157658,17.067562103271484,45740.0546875
208.4,25.927968998419338,17.063629150390625,45743.1953125
208.6,25.878743768399769,17.055889129638672,45738.859375
208.8,25.829171400929027,17.054752349853516,45726.640625
209,25.791817508800079,17.054729461669922,45719.78515625
209.2,25.768429223360592,17.057889938354492,45730.78515625
209.4,25.7576027360168,17.053031921386719,45738.6171875
209.6,25.757949496964031,17.056301116943359,45736.5390625
209.8,25.7691223687511,17.056591033935547,45735.421875
210,25.805079328672935,17.059066772460938,45744.26953125
210.2,25.846624820088913,17.056961059570312,45750.984375
210.4,25.872461388165046,17.069061279296875,45743.1796875
210.6,25.856748273623992,17.056215286254883,45740.484375
210.8,25.819745333643485,17.068117141723633,45733.22265625
211,25.782040489366103,17.067365646362305,45740.0703125
211.2,25.713264935860202,17.0693359375,45740.5078125
211.4,25.592819307891418,17.063058853149414,45748.69140625
211.6,25.48564119701247,17.063182830810547,45731.6171875
211.8,25.408141430860091,17.068893432617188,45732.265625
212,25.364848055088565,17.061744689941406,45734.421875
212.2,25.346693534297511,17.0640811920166,45735.79296875
212.4,25.354719280840442,17.064678192138672,45737.2734375
212.6,25.391725282510325,17.061334609985352,45757.1171875
212.8,25.464345297852084,17.062705993652344,45742.328125
213,25.548829021689933,17.064249038696289,45731.09375
213.2,25.64134268327193,17.062368392944336,45741.609375
213.4,25.725475454961341,17.065916061401367,45716.49609375
213.6,25.805076366299197,17.071008682250977,45751.7890625
213.8,25.867564545703452,17.068855285644531,45745.828125
214,25.904562917978808,17.069290161132812,45738.15625
214.2,25.904917308320563,17.065807342529297,45765.80859375
214.4,25.874193360039275,17.063381195068359,45743.9609375
214.6,25.826719076064627,17.064888000488281,45741.796875
214.8,25.776101481543105,17.064098358154297,45734.328125
215,25.734906189267676,17.070041656494141,45746.4453125
215.2,25.693703267597712,17.069169998168945,45745.0703125
215.4,25.67276020310549,17.077728271484375,45755.33984375
215.6,25.671363647402323,17.073989868164062,45737.5859375
215.8,25.6727594500976,17.075984954833984,45736.80078125
216,25.670664804794825,17.075820922851562,45745.92578125
216.2,25.652857421454943,17.081331253051758,45741.86328125
216.4,25.629820088163889,17.084159851074219,45739.61328125
216.6,25.606077035878695,17.090572357177734,45742.4140625
216.8,25.595258177929438,17.085548400878906,45746.5390625
217,25.606076282870806,17.084987640380859,45720.63671875
217.2,25.641335153193033,17.07830810546875,45747.30078125
217.4,25.706272368241819,17.07476806640625,45727.234375
217.6,25.793197498329675,17.071134567260742,45745.09765625
217.8,25.885364022460493,17.070075988769531,45720.703125
218,25.98276049654249,17.068302154541016,45722.26171875
218.2,26.104242969159635,17.064125061035156,45729.44140625
218.4,26.20512607654241,17.067296981811523,45720.8984375
218.6,26.245614896815809,17.061044692993164,45737.296875
218.8,26.204072467089208,17.059480667114258,45712.2734375
219,26.158696266610654,17.061012268066406,45727.6328125
219.2,26.100395871796163,17.059720993041992,45722.640625
219.4,26.056762987968,17.063613891601562,45741.26953125
219.6,26.011726295546083,17.07011604309082,45747.984375
219.8,25.970187680516752,17.072105407714844,45743.2734375
220,25.915377733700304,17.073905944824219,45730.953125
220.2,25.848005988788159,17.071285247802734,45748.12890625
220.4,25.776434262186555,17.069015502929688,45743.74609375
220.6,25.723371446717767,17.067768096923828,45755.609375
220.8,25.682874244041948,17.073921203613281,45743.8671875
221,25.659482143905191,17.076944351196289,45757.2265625
221.2,25.627365831121949,17.082057952880859,45772.5859375
221.4,25.583381995145345,17.076667785644531,45746.46484375
221.6,25.50587078490117,17.070404052734375,45752.9609375
221.8,25.428371018748784,17.071525573730469,45768.40234375
222,25.348418402254609,17.074369430541992,45751.35546875
222.2,25.25554922081902,17.070575714111328,45740.3125
222.4,25.156046280838517,17.079532623291016,45759.96484375
222.6,25.081682195838475,17.078193664550781,45742.78515625
222.8,25.054444880857968,17.079288482666016,45731.71484375
223,25.060731125447774,17.073471069335938,45722.5078125
