"","apply.t.ate..median..MARGIN...2."
"X550",0.0452361363636364
"X551",0.0450711111111111
"X552",0.0449866666666667
"X553",0.0447933333333333
"X554",0.0446311111111111
"X555",0.04449
"X556",0.0444536363636364
"X557",0.0443045454545455
"X558",0.044165
"X559",0.0441218181818182
"X560",0.0441113333333333
"X561",0.0441455555555556
"X562",0.0440488888888889
"X563",0.044034
"X564",0.0441445454545454
"X565",0.0438675
"X566",0.0434479545454545
"X567",0.0432627272727273
"X568",0.0430231818181818
"X569",0.0429741304347826
"X570",0.0429469565217391
"X571",0.0429565217391304
"X572",0.0429952173913044
"X573",0.04294175
"X574",0.042884
"X575",0.042803
"X576",0.04264425
"X577",0.0424341860465116
"X578",0.0426279069767442
"X579",0.0427616279069767
"X580",0.0428409302325581
"X581",0.0428755813953488
"X582",0.0432128571428571
"X583",0.0433914285714286
"X584",0.0435566666666667
"X585",0.0438080952380952
"X586",0.0440318181818182
"X587",0.0441863636363636
"X588",0.0443090909090909
"X589",0.04446
"X590",0.0447790909090909
"X591",0.0451536363636364
"X592",0.04536
"X593",0.0456309090909091
"X594",0.0459463636363636
"X595",0.046275306122449
"X596",0.0464412244897959
"X597",0.04659
"X598",0.0468804081632653
"X599",0.0469989795918367
"X600",0.047262
"X601",0.0473633333333333
"X602",0.0475555555555556
"X603",0.0477153333333333
"X604",0.0478117021276596
"X605",0.0475972340425532
"X606",0.0474278723404255
"X607",0.0472223404255319
"X608",0.0470610638297872
"X609",0.0467897872340425
"X610",0.0464878723404256
"X611",0.0461870212765957
"X612",0.0458993617021277
"X613",0.04561
"X614",0.0455246808510638
"X615",0.0454021276595745
"X616",0.0452602127659574
"X617",0.0451493617021277
"X618",0.045038
"X619",0.0447448888888889
"X620",0.0443344444444444
"X621",0.0438746666666667
"X622",0.0435537777777778
"X623",0.0434824444444444
"X624",0.043268
"X625",0.0430384444444445
"X626",0.0429173333333333
"X627",0.0426935714285715
"X628",0.0422330952380952
"X629",0.0417090476190476
"X630",0.0410821428571429
"X631",0.04058
"X632",0.0404891111111111
"X633",0.0403206666666667
"X634",0.0400771111111111
"X635",0.0399346666666667
"X636",0.0398806976744186
"X637",0.0399025581395349
"X638",0.0398025581395349
"X639",0.0397313953488372
"X640",0.0397061363636363
"X641",0.0397570454545455
"X642",0.0397
"X643",0.0398
"X644",0.0399186363636364
"X645",0.0400313953488372
"X646",0.0400809302325581
"X647",0.0402095348837209
"X648",0.0402555813953488
"X649",0.040428
"X650",0.0404262222222222
"X651",0.0403637777777778
"X652",0.040358
"X653",0.0403984090909091
"X654",0.0406625
"X655",0.0407018181818181
"X656",0.0407056818181818
"X657",0.040945
"X658",0.040898
