"","apply.t.abs..median..MARGIN...2."
"X570",0.0102582051282051
"X571",0.0102710256410256
"X572",0.0103392857142857
"X573",0.0104719047619048
"X574",0.0106133333333333
"X575",0.0107671428571429
"X576",0.0108673170731707
"X577",0.0109880487804878
"X578",0.011070243902439
"X579",0.0111746341463415
"X580",0.01126
"X581",0.0112836363636364
"X582",0.0113072727272727
"X583",0.0113263636363636
"X584",0.01133
"X585",0.0114742857142857
"X586",0.01169
"X587",0.0119009523809524
"X588",0.0121057142857143
"X589",0.0123618181818182
"X590",0.0127213636363636
"X591",0.0130272727272727
"X592",0.0133709090909091
"X593",0.01366
"X594",0.0139947619047619
"X595",0.0142671428571428
"X596",0.0145842857142857
"X597",0.0148328571428571
"X598",0.0149667346938775
"X599",0.0150463265306122
"X600",0.0151314285714286
"X601",0.0151861224489796
"X602",0.0153351020408163
"X603",0.01525
"X604",0.0152402222222222
"X605",0.0151828888888889
"X606",0.015158
"X607",0.0150373913043478
"X608",0.0148586956521739
"X609",0.0146830434782609
"X610",0.0144730434782609
"X611",0.0143421739130435
"X612",0.0140476595744681
"X613",0.013788085106383
"X614",0.0135097872340426
"X615",0.0132914893617021
"X616",0.013059347826087
"X617",0.0127782608695652
"X618",0.0125034782608696
"X619",0.0122526086956522
"X620",0.012014347826087
"X621",0.0117671428571429
"X622",0.0115278571428571
"X623",0.0113107142857143
"X624",0.0110833333333333
"X625",0.0108904255319149
"X626",0.0106510638297872
"X627",0.0104421276595745
"X628",0.0102210638297872
"X629",0.0100023404255319
"X630",0.00980581395348837
"X631",0.00962279069767442
"X632",0.00942372093023256
"X633",0.00922906976744187
"X634",0.00905883720930233
"X635",0.00887511627906977
"X636",0.00870069767441861
"X637",0.00853860465116279
"X638",0.00838
"X639",0.0083125
"X640",0.00826
"X641",0.008185
"X642",0.00811
"X643",0.008125
"X644",0.00813727272727273
"X645",0.008135
"X646",0.00813454545454545
"X647",0.00816953488372093
"X648",0.00823651162790697
"X649",0.00829744186046512
"X650",0.00833953488372093
"X651",0.00838533333333333
"X652",0.0084731111111111
"X653",0.00855799999999999
"X654",0.008628
"X655",0.00871733333333333
"X656",0.00879697674418605
"X657",0.00888953488372092
"X658",0.00897674418604651
"X659",0.00904720930232558
"X660",0.00911913043478261
"X661",0.00918565217391304
"X662",0.00925869565217391
"X663",0.00934934782608696
"X664",0.00939760869565218
"X665",0.00936268292682927
"X666",0.00930634146341464
"X667",0.00923073170731708
"X668",0.00913878048780488
"X669",0.00896022222222223
"X670",0.00873000000000001
"X671",0.00852333333333335
"X672",0.00828822222222224
"X673",0.00810526315789473
"X674",0.00805236842105263
"X675",0.00798815789473684
"X676",0.00792842105263158
"X677",0.00791857142857143
"X678",0.00792785714285714
"X679",0.00794857142857143
"X680",0.00796833333333333
"X681",0.00797083333333334
"X682",0.00788777777777778
"X683",0.00779333333333333
"X684",0.007725
"X685",0.00777219512195123
"X686",0.00784292682926829
"X687",0.00793000000000001
"X688",0.00806585365853659
"X689",0.00817833333333334
"X690",0.00830666666666667
"X691",0.00847555555555556
"X692",0.00863
"X693",0.00887789473684211
"X694",0.00911894736842105
"X695",0.00938052631578949
"X696",0.00972176470588238
"X697",0.0102976470588235
"X698",0.0109247058823529
"X699",0.0114735294117647
"X700",0.0121509756097561
"X701",0.0127734146341463
"X702",0.0134487804878049
"X703",0.0140512195121951
"X704",0.015029696969697
"X705",0.01616
"X706",0.0172718181818182
"X707",0.0185278787878788
"X708",0.01996
"X709",0.02138
"X710",0.022899696969697
"X711",0.0248966666666667
"X712",0.0269254545454545
"X713",0.0289678787878787
"X714",0.0308882926829268
"X715",0.032789756097561
"X716",0.0346729268292683
"X717",0.0365673170731708
"X718",0.0394604000000002
"X719",0.0427492000000001
"X720",0.0458690476190477
"X721",0.0484057142857144
"X722",0.0509200000000001
"X723",0.053472380952381
"X724",0.05603
"X725",0.0596307407407407
"X726",0.0632785185185184
"X727",0.0665871428571427
"X728",0.0692434285714284
"X729",0.0720034285714285
"X730",0.0745862857142856
"X731",0.0767756097560975
"X732",0.0787492682926829
"X733",0.0808473170731708
"X734",0.0829446341463415
"X735",0.08353
"X736",0.08353
"X737",0.08353
"X738",0.08353
"X739",0.08353
"X740",0.08353
"X741",0.08353
"X742",0.08353
"X743",0.08353
"X744",0.08353
"X745",0.08353
"X746",0.08353
