[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:01:10
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 287
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5658101852,6.3104,.0147133,1.086368E-02,1.351741E-02,7.677912E-03,1.216807E-02,9.684352E-03,3.474172E-04,4.343755E-03,1.417868E-02,1.056044E-02,1.304619E-02,7.507053E-03,1.178272E-02,9.428058E-03,3.364403E-04,4.295364E-03,2.213259E-03,1.620394E-03,2.028113E-03,1.136414E-03,1.820851E-03,1.437509E-03,4.954938E-05,6.326015E-04,2.134474E-03,1.575707E-03,1.958672E-03,1.111235E-03,1.764063E-03,1.39974E-03,4.954938E-05,6.326015E-04,
45630.5658217593,6.8528,1.485907E-02,1.122935E-02,1.404141E-02,7.646691E-03,1.224546E-02,9.910131E-03,4.077399E-04,4.20216E-03,1.431362E-02,1.090536E-02,1.353275E-02,7.477205E-03,1.185518E-02,9.641812E-03,3.945905E-04,4.155536E-03,2.23474E-03,1.674281E-03,2.105333E-03,1.131813E-03,1.832256E-03,1.470781E-03,5.811347E-05,6.120082E-04,2.154361E-03,1.626536E-03,2.030374E-03,1.106836E-03,1.774741E-03,1.43124E-03,5.811347E-05,6.120082E-04,
45630.5658333333,7.0901,1.432513E-02,1.090022E-02,1.362365E-02,8.759907E-03,1.258635E-02,9.725245E-03,3.772654E-04,4.332865E-03,1.381882E-02,1.059494E-02,1.314495E-02,8.538164E-03,1.217401E-02,9.466792E-03,3.655154E-04,4.277886E-03,2.156056E-03,1.625778E-03,2.043769E-03,1.295862E-03,1.882491E-03,1.443536E-03,5.383143E-05,6.300273E-04,2.081444E-03,1.58079E-03,1.973226E-03,1.263185E-03,1.821726E-03,1.405449E-03,5.383143E-05,6.300273E-04,
45630.5658449074,6.86975,1.388937E-02,1.044402E-02,1.367031E-02,8.129827E-03,1.232288E-02,1.005726E-02,4.025123E-04,4.165311E-03,1.341398E-02,1.016379E-02,.0131883,7.938491E-03,1.192764E-02,9.780968E-03,3.904369E-04,4.116209E-03,2.091841E-03,1.558551E-03,2.050645E-03,1.20301E-03,1.843665E-03,1.492464E-03,5.750175E-05,6.062163E-04,2.021784E-03,1.517253E-03,1.979615E-03,1.174814E-03,1.78542E-03,1.451747E-03,5.750175E-05,6.062163E-04,
45630.5658564815,7.44605,1.510225E-02,1.238577E-02,1.365216E-02,7.907987E-03,.0137375,9.513311E-03,4.428909E-04,4.234697E-03,1.453853E-02,1.199186E-02,1.317144E-02,7.726843E-03,1.324644E-02,9.265948E-03,4.278191E-04,4.186123E-03,2.270577E-03,1.844696E-03,2.047971E-03,1.170319E-03,2.05213E-03,1.412304E-03,6.300724E-05,6.16513E-04,2.187504E-03,1.786649E-03,1.97713E-03,1.143624E-03,1.979766E-03,1.375851E-03,6.300724E-05,6.16513E-04,
45630.5658680556,7.6664,1.422821E-02,1.031648E-02,1.392455E-02,7.502011E-03,1.236935E-02,1.010279E-02,3.726424E-04,4.214529E-03,1.372886E-02,1.004306E-02,1.342436E-02,7.338819E-03,1.197112E-02,9.824005E-03,3.613618E-04,4.168645E-03,2.141774E-03,1.539756E-03,2.088112E-03,1.110492E-03,1.850513E-03,1.499173E-03,5.321971E-05,6.139388E-04,2.068186E-03,1.499463E-03,2.014401E-03,1.086443E-03,1.791827E-03,1.458089E-03,5.321971E-05,6.139388E-04,
45630.5658796296,8.29355,1.466474E-02,1.152239E-02,1.495017E-02,9.188859E-03,1.316105E-02,9.637414E-03,3.605746E-04,4.145118E-03,1.413369E-02,.0111813,1.437339E-02,8.945182E-03,1.271023E-02,9.383585E-03,3.489011E-04,4.089991E-03,2.206102E-03,1.717464E-03,2.239252E-03,1.359075E-03,1.967182E-03,1.430592E-03,5.138454E-05,6.023551E-04,2.127845E-03,.0016672,2.154256E-03,1.323165E-03,1.900746E-03,1.393187E-03,5.138454E-05,6.023551E-04,
45630.5658912037,8.6495,1.610252E-02,1.037113E-02,1.487449E-02,7.78581E-03,1.158096E-02,9.188321E-03,3.564146E-04,4.207429E-03,1.546067E-02,.0100948,1.430354E-02,7.610164E-03,1.123201E-02,8.957511E-03,3.447475E-04,4.159905E-03,2.417982E-03,1.547809E-03,.0022281,1.152314E-03,1.73433E-03,1.364412E-03,5.077282E-05,6.126517E-04,2.323395E-03,1.507087E-03,2.143962E-03,1.12643E-03,1.682908E-03,1.330398E-03,5.077282E-05,6.126517E-04,
45630.5659027778,8.6834,1.379267E-02,9.607457E-03,1.351482E-02,7.791491E-03,1.192064E-02,8.901604E-03,3.891837E-04,4.13675E-03,1.332402E-02,9.37047E-03,1.304378E-02,7.615591E-03,1.155084E-02,8.684939E-03,3.779761E-04,4.089991E-03,2.07759E-03,1.43527E-03,2.027732E-03,1.153151E-03,1.784389E-03,1.322159E-03,5.566659E-05,6.023551E-04,2.008527E-03,1.400346E-03,1.958317E-03,1.12723E-03,1.729892E-03,1.29023E-03,5.566659E-05,6.023551E-04,
45630.5659143519,8.8868,1.388937E-02,.0103347,1.286832E-02,7.278137E-03,1.202885E-02,9.41046E-03,4.02454E-04,4.133663E-03,1.341398E-02,1.006031E-02,.0124416,7.124456E-03,1.165229E-02,9.168397E-03,3.904369E-04,4.089991E-03,2.091841E-03,1.54244E-03,1.932461E-03,1.077501E-03,1.800335E-03,1.397147E-03,5.750175E-05,6.023551E-04,2.021784E-03,1.502005E-03,1.869577E-03,1.054854E-03,1.744842E-03,1.361475E-03,5.750175E-05,6.023551E-04,
