[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:52:07
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 283
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.4777314815,.3101,-9.131195E-04,6.419711E-04,2.178431E-03,-3.362845E-05,-1.300623E-04,-6.70661E-04,4.166384E-04,-2.597988E-03,-9.172821E-04,6.418217E-04,2.170622E-03,-3.362845E-05,-1.299102E-04,-6.724663E-04,4.180229E-04,-2.598661E-03,-8.953353E-05,1.140679E-04,3.571414E-04,0,8.532256E-06,-8.84606E-05,6.156449E-05,-3.827188E-04,-9.014695E-05,1.140458E-04,3.559906E-04,0,8.554674E-06,-8.872664E-05,6.156449E-05,-3.827188E-04,
45630.4777430556,.12365,-3.055579E-04,4.869182E-04,1.933606E-03,-3.362845E-05,-5.763122E-05,-2.208296E-04,-4.173581E-04,-2.161811E-03,-3.055579E-04,4.87067E-04,1.928117E-03,-3.362845E-05,-5.731611E-05,-2.210824E-04,-4.184703E-04,-2.162372E-03,0,9.121845E-05,3.210627E-04,0,1.920609E-05,-2.217105E-05,-6.163038E-05,-3.184641E-04,0,9.124036E-05,3.202538E-04,0,1.925252E-05,-2.22083E-05,-6.163038E-05,-3.184641E-04,
45630.4777546296,8.975001E-02,-7.110867E-04,2.247073E-05,1.933606E-03,-3.362845E-05,-7.211715E-05,-2.208296E-04,4.168441E-04,-1.297087E-03,-7.136279E-04,2.270898E-05,1.928117E-03,-3.362845E-05,-7.18322E-05,-2.210824E-04,4.184703E-04,-1.297423E-03,-5.976089E-05,2.277498E-05,3.210627E-04,0,1.707136E-05,-2.217105E-05,6.163038E-05,-1.910785E-04,-6.013537E-05,2.281009E-05,3.202538E-04,0,1.711335E-05,-2.22083E-05,6.163038E-05,-1.910785E-04,
45630.4777662037,.15755,-7.110867E-04,1.771525E-04,-5.812512E-05,-6.097056E-04,-1.445286E-04,-7.038007E-05,4.169344E-04,-1.727932E-03,-7.136279E-04,1.77495E-04,-5.751671E-05,-6.110168E-04,-1.444127E-04,-7.038007E-05,4.184703E-04,-1.729897E-03,-5.976089E-05,4.55697E-05,2.755053E-05,-8.489381E-05,6.400423E-06,0,6.163038E-05,-2.547713E-04,-6.013537E-05,4.562018E-05,2.764019E-05,-8.508703E-05,6.417507E-06,0,6.163038E-05,-2.547713E-04,
45630.4777777778,.1067,-5.084404E-04,2.247073E-05,7.198334E-04,-6.097056E-04,-1.590073E-04,-2.208296E-04,-5.003585E-04,-1.727932E-03,-5.095929E-04,2.270898E-05,7.20786E-04,-6.110168E-04,-1.589288E-04,-2.210824E-04,-5.021644E-04,-1.729897E-03,-2.989784E-05,2.277498E-05,1.421947E-04,-8.489381E-05,4.26677E-06,-2.217105E-05,-7.395646E-05,-2.547713E-04,-3.006769E-05,2.281009E-05,1.42335E-04,-8.508703E-05,4.278338E-06,-2.22083E-05,-7.395646E-05,-2.547713E-04,
45630.4777893518,.2423,-2.830819E-04,5.71111E-06,-1.382732E-04,-1.202393E-02,-1.87961E-04,-7.038007E-05,-2.085452E-04,9.757772E-04,-2.829688E-04,5.930006E-06,-1.379006E-04,-1.249325E-02,-1.87961E-04,-7.038007E-05,-2.092351E-04,9.946909E-04,3.312181E-06,2.030519E-05,1.573948E-05,-1.766954E-03,0,0,-3.081519E-05,1.464935E-04,3.328844E-06,2.033745E-05,1.579439E-05,-1.836116E-03,0,0,-3.081519E-05,1.464935E-04,
45630.4778009259,.15755,-3.505012E-04,7.46451E-05,-1.916844E-04,-1.865892E-03,1.481657E-05,7.910748E-05,4.170905E-05,1.72461E-04,-3.50736E-04,7.493352E-05,-1.914898E-04,-1.877144E-03,1.526436E-05,7.922682E-05,4.184703E-05,1.729897E-04,-6.623082E-06,3.046367E-05,7.868515E-06,-2.700121E-04,2.988238E-05,2.202928E-05,6.163039E-06,2.547713E-05,-6.657687E-06,3.050618E-05,7.897196E-06,-2.716703E-04,2.994837E-05,2.204687E-05,6.163039E-06,2.547713E-05,
45630.4778125,.2423,-3.055579E-04,-6.319626E-05,-4.672266E-06,-1.078644E-03,-1.734847E-04,-2.197365E-04,-1.25111E-04,-4.316735E-05,-3.055579E-04,-6.30735E-05,-3.927473E-06,-1.082525E-03,-1.734449E-04,-2.19987E-04,-1.255411E-04,-4.324743E-05,0,1.015063E-05,3.542763E-05,-1.539991E-04,2.133296E-06,-2.200996E-05,-1.848911E-05,-6.369283E-06,0,1.016873E-05,3.553738E-05,-1.54571E-04,2.139169E-06,-2.204687E-05,-1.848911E-05,-6.369283E-06,
45630.4778240741,.29315,-4.178943E-04,4.017478E-05,7.553824E-05,-1.047075E-03,2.323417E-04,-7.038007E-05,0,0,-4.185031E-04,4.043176E-05,7.645639E-05,-1.05074E-03,2.330058E-04,-7.038007E-05,0,0,-1.65545E-05,2.538394E-05,4.724788E-05,-1.493469E-04,6.193804E-05,0,0,0,-1.664422E-05,2.542181E-05,4.738318E-05,-1.498871E-04,6.203591E-05,0,0,0,
45630.4778356481,.2084,-3.729684E-04,-2.87459E-05,-8.484531E-05,-6.994101E-04,1.236475E-03,1.112481E-03,8.340332E-05,0,-3.73325E-04,-2.857175E-05,-8.431133E-05,-7.011082E-04,1.234616E-03,1.109852E-03,8.369406E-05,0,-9.933982E-06,1.522742E-05,2.36129E-05,-9.811313E-05,2.099125E-04,1.743128E-04,1.232608E-05,0,-9.986531E-06,1.525309E-05,2.369159E-05,-9.836338E-05,2.096386E-04,1.739253E-04,1.232608E-05,0,
45630.4778472222,.22535,.0088008,1.736937E-02,2.348069E-02,.0596795,1.956864E-02,.0115467,0,4.673129E-05,8.617119E-03,1.660127E-02,2.207484E-02,5.110804E-02,1.858135E-02,1.118338E-02,0,4.324743E-05,1.341962E-03,2.579106E-03,3.496356E-03,8.799646E-03,2.911438E-03,1.711955E-03,0,6.369283E-06,1.314893E-03,2.465916E-03,3.289182E-03,7.536509E-03,2.765946E-03,1.658414E-03,0,6.369283E-06,
45630.4778587963,.15755,6.942528E-03,4.66587E-03,.1771112,7.340008E-03,6.239512E-03,8.348601E-03,2.12036E-04,1.398821E-03,6.832583E-03,4.611914E-03,.1238686,7.183726E-03,6.141056E-03,8.157998E-03,2.092351E-04,1.383918E-03,1.068117E-03,7.070511E-04,2.613617E-02,1.086618E-03,9.471867E-04,1.240666E-03,3.081519E-05,2.03817E-04,1.051915E-03,6.990999E-04,1.829005E-02,1.063588E-03,9.326778E-04,1.212578E-03,3.081519E-05,2.03817E-04,
45630.4778703704,.15755,1.446453E-02,1.046533E-02,1.376583E-02,7.171848E-03,.0112374,8.505436E-03,2.633698E-04,1.311073E-03,1.394814E-02,1.018395E-02,1.327703E-02,7.022586E-03,1.090896E-02,8.307606E-03,2.552669E-04,1.297423E-03,2.176599E-03,1.561691E-03,2.064722E-03,1.061838E-03,1.683703E-03,1.263778E-03,3.759453E-05,1.910785E-04,.0021005,1.520224E-03,1.99269E-03,1.039841E-03,1.635302E-03,1.234625E-03,3.759453E-05,1.910785E-04,
45630.4778819444,.2423,1.495234E-02,1.176428E-02,1.478837E-02,7.835269E-03,1.152362E-02,8.924328E-03,4.241181E-04,1.307965E-03,1.439992E-02,1.140876E-02,1.422402E-02,7.657407E-03,1.117814E-02,8.706558E-03,4.101009E-04,1.293098E-03,2.248485E-03,1.753111E-03,2.215409E-03,1.159603E-03,1.725882E-03,1.325508E-03,6.039778E-05,1.904416E-04,2.167077E-03,1.700719E-03,2.132243E-03,1.133392E-03,1.674969E-03,1.293416E-03,6.039778E-05,1.904416E-04,
45630.4778935185,3.890001E-02,1.426975E-02,1.128759E-02,1.432477E-02,7.639934E-03,.0116627,9.116644E-03,4.882864E-04,1.478149E-03,1.376742E-02,1.096024E-02,.0137953,7.470744E-03,1.130879E-02,8.88941E-03,4.728714E-04,1.461763E-03,2.147896E-03,1.682863E-03,2.14709E-03,1.130817E-03,1.746377E-03,1.353849E-03,6.964233E-05,2.152818E-04,2.07387E-03,1.634623E-03,2.069066E-03,1.105884E-03,1.694222E-03,1.320363E-03,6.964233E-05,2.152818E-04,
45630.4779050926,3.890001E-02,1.575991E-02,1.226055E-02,1.641992E-02,9.448733E-03,1.270127E-02,.0100637,4.205112E-04,1.560944E-03,1.514536E-02,1.187453E-02,1.572451E-02,9.191285E-03,1.228136E-02,9.787052E-03,4.059162E-04,1.539608E-03,2.367493E-03,1.826244E-03,2.455843E-03,1.397371E-03,1.899426E-03,1.493412E-03,5.978147E-05,2.267465E-04,2.276929E-03,1.769358E-03,2.353365E-03,1.359433E-03,1.837546E-03,1.452644E-03,5.978147E-05,2.267465E-04,
45630.4779166667,.32705,1.680376E-02,1.323899E-02,1.647092E-02,9.358825E-03,1.293776E-02,1.072882E-02,5.482667E-04,1.64163E-03,1.610431E-02,1.278935E-02,1.577122E-02,9.106182E-03,1.250208E-02,1.041469E-02,5.278375E-04,1.619401E-03,2.52132E-03,1.970432E-03,2.463359E-03,1.384122E-03,1.934275E-03,1.591428E-03,7.773749E-05,2.38498E-04,2.418246E-03,1.904171E-03,2.360247E-03,1.346891E-03,1.870072E-03,1.545137E-03,7.773749E-05,2.38498E-04,
45630.4779282407,.2762,1.784265E-02,1.399888E-02,1.808667E-02,9.991143E-03,1.457934E-02,1.122421E-02,4.187076E-04,1.910403E-03,1.705364E-02,1.349667E-02,1.724429E-02,9.703786E-03,1.402662E-02,.0108807,4.021619E-04,1.882824E-03,2.674417E-03,2.082413E-03,2.701465E-03,1.477304E-03,2.176188E-03,1.664432E-03,5.922856E-05,2.772936E-04,2.558145E-03,2.008404E-03,2.577326E-03,1.434957E-03,2.094737E-03,1.613809E-03,5.922856E-05,2.772936E-04,
45630.4779398148,.3779,1.702592E-02,1.368344E-02,1.655871E-02,9.233204E-03,1.331173E-02,1.088791E-02,3.876048E-04,1.987108E-03,1.630774E-02,1.320339E-02,1.585157E-02,8.987203E-03,1.285054E-02,1.056448E-02,3.728376E-04,1.960555E-03,2.554059E-03,2.035929E-03,2.476296E-03,1.36561E-03,1.989386E-03,1.614872E-03,5.490981E-05,2.887415E-04,2.448224E-03,1.965186E-03,2.372088E-03,1.329358E-03,1.921424E-03,1.56721E-03,5.490981E-05,2.887415E-04,
45630.4779513889,.39485,1.779305E-02,1.373907E-02,.0177919,1.025504E-02,1.373333E-02,1.184533E-02,4.882955E-04,1.950576E-03,1.700844E-02,1.325514E-02,1.697646E-02,9.952562E-03,1.324257E-02,.0114632,4.691889E-04,1.921689E-03,2.667108E-03,2.044126E-03,2.658025E-03,1.516193E-03,2.051516E-03,1.755963E-03,6.909999E-05,2.830176E-04,2.551483E-03,1.972812E-03,2.537858E-03,1.471618E-03,1.979195E-03,1.69965E-03,6.909999E-05,2.830176E-04,
