[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:04:13
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 289
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.604375,1.34405,1.221181E-02,9.060798E-03,1.110265E-02,6.026956E-03,9.963929E-03,7.516146E-03,3.805825E-04,2.409036E-03,1.184682E-02,8.85019E-03,1.078634E-02,5.921314E-03,9.706306E-03,7.36173E-03,3.706723E-04,2.387947E-03,1.844627E-03,1.354711E-03,1.672263E-03,8.931201E-04,1.496037E-03,1.117991E-03,5.459092E-05,3.516859E-04,1.79084E-03,1.323675E-03,1.625649E-03,8.77552E-04,1.458072E-03,1.095235E-03,5.459092E-05,3.516859E-04,
45630.6043865741,1.5644,1.147385E-02,8.464819E-03,1.097952E-02,5.91132E-03,9.826595E-03,7.261388E-03,3.292495E-04,2.569202E-03,1.115304E-02,8.281255E-03,1.067032E-02,5.809675E-03,9.576119E-03,7.117308E-03,3.212493E-04,2.547144E-03,1.735877E-03,1.266884E-03,1.654117E-03,8.760793E-04,1.475798E-03,1.080449E-03,4.731213E-05,3.751316E-04,.0016886,1.239834E-03,1.608552E-03,8.611004E-04,1.438887E-03,1.059216E-03,4.731213E-05,3.751316E-04,
45630.6043981481,1.5644,1.145009E-02,8.446787E-03,1.081035E-02,6.021313E-03,9.902879E-03,7.443533E-03,3.672192E-04,2.489316E-03,1.113066E-02,8.264014E-03,.0105108,5.915868E-03,9.648445E-03,7.292098E-03,3.583166E-04,2.467545E-03,1.732376E-03,1.264227E-03,1.629187E-03,8.922886E-04,1.48704E-03,1.10729E-03,5.277122E-05,3.634087E-04,1.685302E-03,1.237293E-03,1.585043E-03,8.767495E-04,1.449545E-03,1.084974E-03,5.277122E-05,3.634087E-04,
45630.6044097222,1.6322,1.161646E-02,8.717429E-03,1.091799E-02,6.021313E-03,1.010136E-02,7.375392E-03,4.012214E-04,2.377788E-03,1.128732E-02,8.522621E-03,1.061231E-02,5.915868E-03,9.836494E-03,7.226729E-03,3.912652E-04,2.356992E-03,1.756892E-03,1.304111E-03,1.645049E-03,8.922886E-04,1.51629E-03,1.097249E-03,5.762374E-05,3.47127E-04,1.708388E-03,1.275402E-03,1.600003E-03,8.767495E-04,1.477257E-03,1.075341E-03,5.762374E-05,3.47127E-04,
45630.6044212963,1.7339,1.154514E-02,8.518921E-03,1.084879E-02,5.891584E-03,1.013192E-02,7.412422E-03,2.9553E-04,2.466541E-03,1.122018E-02,8.332976E-03,1.054705E-02,5.790615E-03,9.865425E-03,7.262256E-03,2.883007E-04,2.445435E-03,1.746382E-03,1.274857E-03,1.634851E-03,8.73171E-04,1.520792E-03,1.102706E-03,4.24596E-05,3.601524E-04,1.698494E-03,1.247455E-03,1.590386E-03,8.582916E-04,1.48152E-03,1.080576E-03,4.24596E-05,3.601524E-04,
45630.6044328704,2.2085,1.209259E-02,8.699374E-03,1.105134E-02,6.269764E-03,1.057553E-02,7.344292E-03,4.099199E-04,2.441132E-03,1.173492E-02,8.505381E-03,.010738,6.155482E-03,1.028492E-02,7.196887E-03,3.995024E-04,2.418902E-03,1.827058E-03,1.30145E-03,1.664701E-03,9.289015E-04,1.586165E-03,1.092666E-03,5.883687E-05,3.562448E-04,1.774349E-03,1.272862E-03,1.618525E-03,9.120603E-04,1.543339E-03,1.070943E-03,5.883687E-05,3.562448E-04,
45630.6044444444,2.3102,1.185438E-02,8.735486E-03,1.206485E-02,6.798913E-03,1.025419E-02,8.282592E-03,3.464363E-04,2.46982E-03,1.151112E-02,8.539862E-03,1.169032E-02,6.66466E-03,9.981147E-03,8.094993E-03,3.377237E-04,2.445435E-03,1.791953E-03,1.306771E-03,1.814058E-03,1.00688E-03,1.538811E-03,1.230938E-03,4.973839E-05,3.601524E-04,1.741369E-03,1.277943E-03,1.758864E-03,9.870955E-04,1.498574E-03,1.203293E-03,4.973839E-05,3.601524E-04,
45630.6044560185,2.4458,1.252214E-02,9.115072E-03,1.121046E-02,6.238688E-03,1.052959E-02,7.875197E-03,4.230756E-04,2.521347E-03,1.213776E-02,8.901911E-03,1.088786E-02,6.12553E-03,1.024152E-02,7.705625E-03,4.118581E-04,.0024985,1.890358E-03,1.362709E-03,1.68815E-03,9.24322E-04,1.579395E-03,1.170903E-03,6.065657E-05,3.679676E-04,1.833714E-03,1.331297E-03,1.640609E-03,9.076464E-04,1.536944E-03,1.145913E-03,6.065657E-05,3.679676E-04,
45630.6044675926,2.7848,1.221181E-02,8.753544E-03,1.167063E-02,7.113774E-03,1.097415E-02,7.639211E-03,4.480577E-04,2.542447E-03,1.184682E-02,8.557102E-03,1.132051E-02,.0069669,1.066102E-02,7.479677E-03,4.365696E-04,2.516189E-03,1.844627E-03,1.309433E-03,1.755962E-03,1.053279E-03,1.644908E-03,1.136126E-03,6.429597E-05,3.705727E-04,1.79084E-03,1.280484E-03,1.704367E-03,1.031635E-03,1.598763E-03,1.112617E-03,6.429597E-05,3.705727E-04,
45630.6044791667,2.8187,1.199727E-02,8.789666E-03,1.320324E-02,7.19897E-03,1.026948E-02,8.590979E-03,4.648544E-04,2.609795E-03,.0116454,8.591583E-03,1.275382E-02,7.048586E-03,9.995612E-03,8.389152E-03,4.53044E-04,2.582521E-03,1.81301E-03,1.314756E-03,1.981816E-03,1.065834E-03,1.541064E-03,1.276384E-03,6.672223E-05,3.803418E-04,1.761157E-03,1.285565E-03,1.915587E-03,1.043673E-03,1.500706E-03,1.246642E-03,6.672223E-05,3.803418E-04,
