[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:55:40
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 284
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5082291667,2.4458,1.436946E-02,1.111818E-02,1.346215E-02,7.568831E-03,1.147997E-02,9.420995E-03,3.334475E-04,2.591748E-03,1.385995E-02,1.080056E-02,.0129948,7.402746E-03,1.113711E-02,9.17839E-03,3.229503E-04,2.563281E-03,2.162589E-03,1.657897E-03,2.019971E-03,1.120339E-03,1.719449E-03,.0013987,4.756264E-05,3.775083E-04,2.087505E-03,1.611092E-03,.0019511,1.095864E-03,1.668924E-03,1.362948E-03,4.756264E-05,3.775083E-04,
45630.5082407407,2.5475,1.405516E-02,1.031518E-02,1.337537E-02,7.767776E-03,1.188099E-02,8.990564E-03,2.81731E-04,2.579179E-03,1.356811E-02,1.004183E-02,1.291407E-02,7.592935E-03,1.151365E-02,8.769557E-03,2.732656E-04,2.550114E-03,2.116272E-03,1.539564E-03,2.007183E-03,1.149657E-03,1.778545E-03,1.335269E-03,4.024531E-05,3.75569E-04,2.044498E-03,1.499282E-03,1.939203E-03,1.123891E-03,1.724412E-03,.0013027,4.024531E-05,3.75569E-04,
45630.5082523148,2.97125,1.468427E-02,1.051562E-02,1.444842E-02,7.947022E-03,1.211274E-02,9.989938E-03,2.777673E-04,2.753024E-03,1.415179E-02,1.023152E-02,1.390976E-02,7.764104E-03,1.173088E-02,9.717306E-03,2.691252E-04,2.721292E-03,2.208982E-03,1.569101E-03,2.165313E-03,1.176071E-03,1.812696E-03,1.482542E-03,3.963553E-05,4.007793E-04,2.130512E-03,1.527234E-03,2.085932E-03,1.149116E-03,1.756425E-03,1.442366E-03,3.963553E-05,4.007793E-04,
45630.5082638889,3.14075,1.529113E-02,1.152093E-02,1.468124E-02,9.654764E-03,1.222098E-02,.0100247,3.511607E-04,2.595122E-03,1.471303E-02,1.117993E-02,1.412504E-02,9.386141E-03,1.183226E-02,9.750184E-03,3.395119E-04,2.558892E-03,2.298412E-03,1.71725E-03,2.199621E-03,1.427733E-03,1.828648E-03,1.487666E-03,5.000174E-05,3.768619E-04,2.213219E-03,1.666998E-03,2.117657E-03,1.388148E-03,1.771364E-03,1.447211E-03,5.000174E-05,3.768619E-04,
45630.508275463,3.5306,1.463581E-02,1.095365E-02,1.444842E-02,8.95192E-03,1.259258E-02,1.000656E-02,3.548703E-04,2.539135E-03,1.410689E-02,1.064537E-02,1.390976E-02,8.720481E-03,1.217983E-02,9.73303E-03,3.436522E-04,2.506222E-03,2.20184E-03,1.633652E-03,2.165313E-03,1.324158E-03,1.883409E-03,1.484992E-03,5.061152E-05,3.691048E-04,2.123896E-03,1.588222E-03,2.085932E-03,1.290052E-03,1.822584E-03,1.444683E-03,5.061152E-05,3.691048E-04,
45630.508287037,3.6662,1.422433E-02,1.031518E-02,1.343322E-02,7.631332E-03,1.257708E-02,9.955177E-03,3.244903E-04,2.65412E-03,1.372526E-02,1.004183E-02,1.296789E-02,7.462519E-03,1.216535E-02,9.684428E-03,3.146695E-04,2.62473E-03,2.141202E-03,1.539564E-03,2.015707E-03,1.129549E-03,1.881125E-03,1.47742E-03,4.634308E-05,3.865582E-04,2.067656E-03,1.499282E-03,1.947134E-03,1.104672E-03,1.82045E-03,1.43752E-03,4.634308E-05,3.865582E-04,
45630.5082986111,3.95435,1.572925E-02,1.047916E-02,1.424495E-02,8.058076E-03,1.191187E-02,.0098313,3.551591E-04,2.820084E-03,1.511711E-02,1.019703E-02,1.372138E-02,7.870066E-03,1.154262E-02,9.56721E-03,3.436522E-04,2.787129E-03,2.362976E-03,1.563728E-03,2.135328E-03,1.192437E-03,1.783096E-03,1.459165E-03,5.061152E-05,4.104756E-04,2.272767E-03,1.522152E-03,2.058172E-03,1.164731E-03,1.72868E-03,1.420247E-03,5.061152E-05,4.104756E-04,
45630.5083101852,4.0391,1.543706E-02,1.153926E-02,1.584959E-02,1.027963E-02,1.277866E-02,9.856976E-03,4.369042E-04,2.820214E-03,1.484772E-02,1.119717E-02,1.520145E-02,9.975726E-03,1.235362E-02,9.591511E-03,4.223196E-04,2.778351E-03,2.319917E-03,1.719951E-03,2.371796E-03,1.519817E-03,1.91083E-03,1.462948E-03,6.219729E-05,4.091828E-04,2.233068E-03,1.669539E-03,2.276283E-03,1.475032E-03,1.848194E-03,1.423828E-03,6.219729E-05,4.091828E-04,
45630.5083217593,4.42895,1.504816E-02,1.330681E-02,1.386764E-02,7.864489E-03,1.284072E-02,1.037577E-02,3.175424E-04,2.637259E-03,1.448853E-02,1.285259E-02,1.337155E-02,7.685312E-03,1.241155E-02,1.008182E-02,3.063887E-04,2.607173E-03,2.262606E-03,1.980426E-03,2.079726E-03,1.163909E-03,1.919976E-03,1.539401E-03,4.512353E-05,3.839725E-04,2.180136E-03,1.91349E-03,2.006619E-03,1.137504E-03,1.856731E-03,1.496083E-03,4.512353E-05,3.839725E-04,
45630.5083333333,4.59845,.0149609,1.100894E-02,1.479098E-02,9.002304E-03,.0129215,9.896328E-03,3.340138E-04,3.232705E-03,1.440784E-02,1.069754E-02,1.422643E-02,8.768288E-03,1.248692E-02,9.628751E-03,3.232927E-04,3.190569E-03,2.249747E-03,.0016418,2.215794E-03,1.331583E-03,1.931881E-03,1.468747E-03,4.761306E-05,4.698924E-04,2.168245E-03,1.59591E-03,2.132599E-03,1.297097E-03,1.867838E-03,1.429316E-03,4.761306E-05,4.698924E-04,
45630.5083449074,4.76795,1.493662E-02,1.126501E-02,1.470363E-02,9.156953E-03,1.225493E-02,1.028394E-02,3.555337E-04,2.656028E-03,1.438538E-02,1.093896E-02,1.414573E-02,8.914942E-03,1.186404E-02,9.995135E-03,3.440166E-04,2.620825E-03,2.246168E-03,1.679535E-03,2.202922E-03,1.354373E-03,1.83365E-03,1.525868E-03,5.066518E-05,3.85983E-04,2.164934E-03,1.631488E-03,2.120707E-03,1.318709E-03,1.776047E-03,1.483308E-03,5.066518E-05,3.85983E-04,
45630.5083564815,4.9883,1.479097E-02,1.111864E-02,1.447089E-02,8.736283E-03,1.202295E-02,9.826765E-03,3.125778E-04,2.658856E-03,.0142506,1.080101E-02,1.393054E-02,8.515718E-03,1.164676E-02,9.562917E-03,3.025688E-04,2.625207E-03,2.224705E-03,1.657966E-03,2.168624E-03,1.292381E-03,1.799465E-03,1.458496E-03,4.456094E-05,3.866285E-04,2.145072E-03,1.611157E-03,2.088995E-03,1.259877E-03,1.744027E-03,1.419614E-03,4.456094E-05,3.866285E-04,
45630.5083680556,5.20865,1.396773E-02,1.100894E-02,1.441275E-02,8.590572E-03,1.250268E-02,1.042647E-02,2.779794E-04,2.755929E-03,1.348685E-02,1.069754E-02,1.387675E-02,8.377213E-03,1.209581E-02,1.012967E-02,2.694105E-04,2.721626E-03,2.103388E-03,.0016418,2.160056E-03,1.270908E-03,1.870161E-03,1.546872E-03,3.967755E-05,4.008285E-04,2.032522E-03,1.59591E-03,2.081068E-03,1.239466E-03,1.810202E-03,1.503133E-03,3.967755E-05,4.008285E-04,
45630.5083796296,5.31035,1.442734E-02,1.042492E-02,1.365855E-02,7.79843E-03,1.258017E-02,6.832521E-03,3.292447E-04,2.637516E-03,1.391365E-02,1.014571E-02,1.317738E-02,7.62222E-03,1.216824E-02,6.705058E-03,3.191479E-04,2.607677E-03,2.171119E-03,1.555736E-03,2.048913E-03,1.154174E-03,1.88158E-03,1.017248E-03,4.700264E-05,3.840467E-04,2.095418E-03,1.51459E-03,1.978005E-03,1.128207E-03,1.820875E-03,9.984648E-04,4.700264E-05,3.840467E-04,
45630.5083912037,5.37815,1.416112E-02,1.163141E-02,1.351385E-02,7.15427E-03,1.239425E-02,9.539724E-03,4.623712E-04,2.657189E-03,1.366655E-02,1.128385E-02,1.304289E-02,7.005733E-03,1.199441E-02,9.290992E-03,4.47636E-04,2.62959E-03,2.131887E-03,1.733531E-03,2.02759E-03,1.059247E-03,1.854182E-03,1.416196E-03,6.592577E-05,3.87274E-04,2.059005E-03,1.682313E-03,1.958186E-03,1.037358E-03,1.795259E-03,1.379542E-03,6.592577E-05,3.87274E-04,
45630.5084027778,5.6663,1.503377E-02,1.035204E-02,1.502412E-02,7.366834E-03,1.351253E-02,1.007186E-02,2.738509E-04,2.724462E-03,1.447523E-02,1.007673E-02,1.444162E-02,7.209417E-03,1.303737E-02,9.794769E-03,2.652658E-04,2.69533E-03,2.260485E-03,1.544996E-03,2.25015E-03,1.090572E-03,2.018978E-03,1.494615E-03,3.906712E-05,3.969558E-04,2.178176E-03,1.504425E-03,2.16431E-03,1.067374E-03,1.948955E-03,1.453781E-03,3.906712E-05,3.969558E-04,
45630.5084143519,6.2426,1.513098E-02,1.097239E-02,1.455814E-02,8.484935E-03,1.299917E-02,1.124591E-02,3.854684E-04,3.03949E-03,1.456508E-02,1.066305E-02,1.401124E-02,8.276728E-03,1.255935E-02,1.090107E-02,3.7303E-04,3.002115E-03,2.27481E-03,1.636413E-03,2.181481E-03,1.255341E-03,1.943326E-03,1.667628E-03,5.493814E-05,4.421378E-04,2.191417E-03,1.590827E-03,2.100887E-03,1.224658E-03,1.878511E-03,1.616812E-03,5.493814E-05,4.421378E-04,
45630.5084259259,5.95445,1.698718E-02,1.561451E-02,1.464542E-02,7.860987E-03,1.203841E-02,8.930884E-03,3.369228E-04,2.708687E-03,1.627228E-02,1.499145E-02,1.409194E-02,7.681967E-03,1.166124E-02,8.712795E-03,3.232927E-04,2.677799E-03,2.54835E-03,2.320501E-03,2.194344E-03,1.163393E-03,1.801743E-03,1.326474E-03,4.761306E-05,3.94374E-04,2.442999E-03,2.228683E-03,2.112779E-03,1.137011E-03,1.746162E-03,1.294335E-03,4.761306E-05,3.94374E-04,
45630.5084375,6.1748,1.341283E-02,1.011538E-02,1.360066E-02,7.667702E-03,1.320124E-02,9.514064E-03,3.71351E-04,2.889637E-03,1.297019E-02,9.852552E-03,1.312358E-02,7.497292E-03,1.274766E-02,9.266662E-03,3.605957E-04,2.857488E-03,2.021614E-03,1.510121E-03,2.040382E-03,1.134909E-03,1.973103E-03,1.412415E-03,5.310687E-05,4.208377E-04,1.956386E-03,1.471388E-03,1.970077E-03,1.109797E-03,1.906262E-03,1.375956E-03,5.310687E-05,4.208377E-04,
45630.5084490741,6.3443,1.411275E-02,1.046137E-02,1.473274E-02,8.97368E-03,1.213117E-02,9.990128E-03,2.521855E-04,2.735253E-03,1.362163E-02,.0101802,1.417263E-02,8.74113E-03,1.174815E-02,9.717485E-03,2.445419E-04,2.699713E-03,2.124759E-03,1.561107E-03,2.207212E-03,1.327365E-03,1.815413E-03,1.48257E-03,3.6015E-05,3.976013E-04,2.052384E-03,1.519672E-03,2.124671E-03,1.293095E-03,1.75897E-03,1.442392E-03,3.6015E-05,3.976013E-04,
45630.5084606481,6.5138,1.389526E-02,1.121011E-02,1.215914E-02,6.68472E-03,1.183758E-02,8.843644E-03,3.336318E-04,2.558005E-03,1.341946E-02,1.088723E-02,1.177865E-02,6.554909E-03,1.147293E-02,8.629786E-03,3.232927E-04,2.533172E-03,2.092709E-03,1.671445E-03,1.827952E-03,9.900517E-04,1.772148E-03,1.313618E-03,4.761306E-05,3.730739E-04,2.022592E-03,1.623864E-03,1.77188E-03,9.709221E-04,1.718411E-03,1.282103E-03,4.761306E-05,3.730739E-04,
45630.5084722222,6.6833,1.309989E-02,1.042492E-02,.0136875,7.770002E-03,1.165239E-02,9.091938E-03,4.140324E-04,2.606379E-03,1.267817E-02,1.014571E-02,1.320428E-02,7.595061E-03,.0112991,8.865931E-03,4.020434E-04,2.576998E-03,1.975499E-03,1.555736E-03,2.053179E-03,1.149985E-03,1.744857E-03,1.350208E-03,5.921111E-05,3.795285E-04,1.913352E-03,1.51459E-03,1.981969E-03,1.124204E-03,1.692795E-03,1.316902E-03,5.921111E-05,3.795285E-04,
45630.5084837963,6.6833,1.377454E-02,1.053429E-02,1.296503E-02,7.812645E-03,1.128255E-02,8.565657E-03,2.649152E-04,2.535614E-03,1.330714E-02,1.024918E-02,1.253181E-02,7.635799E-03,1.095145E-02,8.365016E-03,2.569762E-04,2.506876E-03,2.074918E-03,1.571853E-03,1.946711E-03,1.156269E-03,1.690356E-03,1.272652E-03,3.784628E-05,3.692012E-04,2.00604E-03,1.529837E-03,1.882871E-03,1.130208E-03,1.641563E-03,1.243085E-03,3.784628E-05,3.692012E-04,
45630.5084953704,6.8528,1.367802E-02,9.443415E-03,1.484924E-02,8.644843E-03,1.115943E-02,8.681308E-03,3.62618E-04,2.609684E-03,1.321729E-02,9.214502E-03,1.428023E-02,8.428813E-03,1.083556E-02,8.475218E-03,3.523061E-04,2.576998E-03,2.060694E-03,1.411096E-03,2.224379E-03,1.278906E-03,1.672213E-03,1.289695E-03,5.188603E-05,3.795285E-04,1.992799E-03,1.377362E-03,2.140527E-03,1.24707E-03,1.624485E-03,1.259325E-03,5.188603E-05,3.795285E-04,
45630.5085069444,6.8867,1.297967E-02,9.788184E-03,1.270561E-02,7.273274E-03,1.186846E-02,8.783502E-03,3.070143E-04,2.564632E-03,1.256586E-02,9.542149E-03,1.228972E-02,7.119796E-03,.0115019,8.572538E-03,2.98424E-04,2.537554E-03,1.957782E-03,1.461903E-03,1.908483E-03,1.076784E-03,1.776699E-03,1.304755E-03,4.395051E-05,3.737193E-04,.0018968,1.425646E-03,1.847195E-03,1.054167E-03,1.72268E-03,1.273667E-03,4.395051E-05,3.737193E-04,
